Date,Open,High,Low,Close,Adj Close,Volume
2020-07-21,23.71,24.48,23.69,24.42,24.42,75546081.0
2020-07-22,24.24,24.33,23.97,24.31,24.31,52193708.0
2020-07-23,24.52,24.64,24.11,24.54,24.54,61047616.0
2020-07-24,24.56,24.83,24.27,24.35,24.35,50217643.0
2020-07-27,24.22,24.27,23.88,24.14,24.14,54721348.0
2020-07-28,24.13,24.56,24.08,24.36,24.36,48406513.0
2020-07-29,24.36,25.29,24.19,25.27,25.27,71393500.0
2020-07-30,24.72,24.95,24.35,24.84,24.84,61755886.0
2020-07-31,24.93,24.95,24.46,24.88,24.88,62039245.0
2020-08-03,25.03,25.31,24.69,24.99,24.99,58284026.0
2020-08-04,24.96,25.06,24.86,25.01,25.01,37985273.0
2020-08-05,25.32,25.59,25.25,25.39,25.39,51695566.0
2020-08-06,25.45,25.67,25.28,25.47,25.47,51999733.0
2020-08-07,25.34,26.19,25.26,26.11,26.11,63354498.0
2020-08-10,26.31,26.81,26.21,26.56,26.56,64051124.0
2020-08-11,27.28,27.75,26.78,26.92,26.92,81440973.0
2020-08-12,27.48,27.57,26.41,26.73,26.73,62023958.0
2020-08-13,26.49,26.67,26.14,26.35,26.35,55955478.0
2020-08-14,26.06,26.66,25.92,26.47,26.47,50931874.0
2020-08-17,26.31,26.41,25.84,25.9,25.9,57518714.0
2020-08-18,25.87,25.99,25.46,25.53,25.53,45850127.0
2020-08-19,25.66,26.08,25.39,25.5,25.5,59855953.0
2020-08-20,25.16,25.33,25.02,25.1,25.1,49403690.0
2020-08-21,24.98,25.43,24.9,24.98,24.98,55010685.0
2020-08-24,25.22,25.7,25.04,25.69,25.69,54579461.0
2020-08-25,26.04,26.19,25.73,26.0,26.0,57304734.0
2020-08-26,25.94,25.94,25.54,25.56,25.56,39477979.0
2020-08-27,25.49,26.22,25.44,26.05,26.05,52934791.0
2020-08-28,26.4,26.47,25.99,26.3,26.3,46466386.0
2020-08-31,26.09,26.14,25.69,25.74,25.74,49416216.0
2020-09-01,25.58,25.9,25.4,25.71,25.71,46152100.0
2020-09-02,25.53,26.16,25.49,26.02,26.02,57300855.0
2020-09-03,26.2,26.62,25.46,25.66,25.66,86192495.0
2020-09-04,26.26,26.76,25.8,26.54,26.54,99621412.0
2020-09-08,26.14,26.32,25.39,25.48,25.48,74978641.0
2020-09-09,25.64,25.72,25.23,25.51,25.51,53822654.0
